"[1992, 481]","[1993, 861]","[1994, 640]","[1995, 418]","[1996, 718]","[1997, 721]","[1998, 408]","[1999, 482]","[2000, 364]","[2001, 361]","[2002, 538]","[2003, 478]","[2004, 694]","[2005, 619]","[2006, 301]","[2007, 513]","[2008, 369]","[2009, 513]","[2010, 691]","[2011, 508]","[2012, 409]","[2013, 592]","[2014, 393]","[2015, 771]"
"[1992, 93]","[1993, 137]","[1994, 3452]","[1995, 4230]","[1996, 4048]","[1997, 2591]","[1998, 3566]","[1999, 4501]","[2000, 6264]","[2001, 3309]","[2002, 2926]","[2003, 1824]","[2004, 3054]","[2005, 2547]","[2006, 3947]","[2007, 3833]","[2008, 2012]","[2009, 1372]","[2010, 2913]","[2011, 2042]","[2012, 1747]","[2013, 1670]","[2014, 2418]","[2015, 2074]"
"[1992, 128]","[1993, 151]","[1994, 167]","[1995, 240]","[1996, 224]","[1997, 1040]","[1998, 1156]","[1999, 2224]","[2000, 2363]","[2001, 1266]","[2002, 1001]","[2003, 1664]","[2004, 1364]","[2005, 2296]","[2006, 2571]","[2007, 1301]","[2008, 883]","[2009, 1076]","[2010, 2220]","[2011, 2546]","[2012, 2351]","[2013, 847]","[2014, 1295]","[2015, 1289]"
"[1992, 3494]","[1993, 4639]","[1994, 4519]","[1995, 4502]","[1996, 3761]","[1997, 2250]","[1998, 2679]","[1999, 2736]","[2000, 3859]","[2001, 3186]","[2002, 2918]","[2003, 2916]","[2004, 2843]","[2005, 3690]","[2006, 3319]","[2007, 2443]","[2008, 1898]","[2009, 2333]","[2010, 1617]","[2011, 1912]","[2012, 1760]","[2013, 1665]","[2014, 2828]","[2015, 3819]"
"[1992, 10833]","[1993, 8270]","[1994, 8654]","[1995, 7381]","[1996, 9173]","[1997, 7930]","[1998, 6864]","[1999, 8910]","[2000, 6977]","[2001, 8182]","[2002, 7133]","[2003, 7913]","[2004, 7418]","[2005, 6678]","[2006, 8271]","[2007, 10151]","[2008, 7744]","[2009, 6940]","[2010, 5776]","[2011, 8562]","[2012, 7208]","[2013, 8723]","[2014, 6494]","[2015, 7365]"
"[1992, 1322]","[1993, 1244]","[1994, 2515]","[1995, 1517]","[1996, 1405]","[1997, 722]","[1998, 765]","[1999, 756]","[2000, 1619]","[2001, 1266]","[2002, 1221]","[2003, 2422]","[2004, 1310]","[2005, 1875]","[2006, 1316]","[2007, 1070]","[2008, 1015]","[2009, 952]","[2010, 2694]","[2011, 957]","[2012, 1106]","[2013, 3894]","[2014, 603]","[2015, 591]"
"[1992, 202]","[1993, 103]","[1994, 290]","[1995, 110]","[1996, 27]","[1997, 83]","[1998, 30]","[1999, 297]","[2000, 126]","[2001, 207]","[2002, 107]","[2003, 95]","[2004, 87]","[2005, 293]","[2006, 372]","[2007, 331]","[2008, 366]","[2009, 257]","[2010, 418]","[2011, 227]","[2012, 576]","[2013, 0]","[2014, 0]","[2015, 372]"
"[1992, 3]","[1993, 7]","[1994, 4]","[1995, 5]","[1996, 0]","[1997, 3]","[1998, 13]","[1999, 8]","[2000, 0]","[2001, 1]","[2002, 1]","[2003, 0]","[2004, 0]","[2005, 2]","[2006, 3]","[2007, 1]","[2008, 1]","[2009, 1]","[2010, 1]","[2011, 2]","[2012, 5]","[2013, 1]","[2014, 1]","[2015, 3]"
"[1992, 3]","[1993, 1]","[1994, 2]","[1995, 5]","[1996, 0]","[1997, 5]","[1998, 0]","[1999, 2]","[2000, 1]","[2001, 1]","[2002, 39]","[2003, 21]","[2004, 27]","[2005, 14]","[2006, 0]","[2007, 2]","[2008, 0]","[2009, 0]","[2010, 1]","[2011, 0]","[2012, 19]","[2013, 9]","[2014, 3]","[2015, 16]"
"[1992, 4222]","[1993, 4548]","[1994, 3530]","[1995, 3186]","[1996, 4697]","[1997, 3912]","[1998, 4813]","[1999, 5484]","[2000, 6499]","[2001, 4887]","[2002, 3131]","[2003, 2150]","[2004, 3618]","[2005, 2395]","[2006, 5115]","[2007, 4589]","[2008, 3105]","[2009, 3016]","[2010, 2373]","[2011, 5029]","[2012, 3107]","[2013, 2163]","[2014, 2144]","[2015, 2548]"
"[1992, 6459]","[1993, 9111]","[1994, 6584]","[1995, 7968]","[1996, 9872]","[1997, 7234]","[1998, 7301]","[1999, 11138]","[2000, 10549]","[2001, 9572]","[2002, 7804]","[2003, 4567]","[2004, 8127]","[2005, 6049]","[2006, 8925]","[2007, 8717]","[2008, 5807]","[2009, 4176]","[2010, 5874]","[2011, 8414]","[2012, 4949]","[2013, 3252]","[2014, 4063]","[2015, 2355]"
